Belt Level,Belt ID,Set ID,Set Title,Category,Technique Count,Technique Names,Direction Patterns,Key Points Summary,Common Issues
4th Keup,4th_keup,advanced_strikes,Advanced Strikes,Striking,2,"Back Fist Strike, Side Elbow Thrust (Yop Palkup Tulgi)","Forward 4/3 counts, Backward 4/3 counts","Back of fist whipping motion, elbow travels horizontally with hip rotation","Wrong fist part, elbow traveling up/down instead of horizontally"
3rd Keup,3rd_keup,expert_stances,Expert Stances,Stances,2,"Walking Stance Expert, Bending Ready Stance (Guburyo Junbi Sogi)","Forward 10/6 counts, Backward 10/6 counts","Flawless dimensions and explosive control, significant knee bend with weight on balls of feet","Any deviation from perfect form, insufficient knee bend, weight on heels"
3rd Keup,3rd_keup,complex_blocks,Complex Blocks,Blocking,2,"Rising Block (Chookyo Makgi), X-Block (Gyocha Makgi)","Forward 6/4 counts, Backward 6/4 counts","Strong upward rising motion above head level, both arms crossing simultaneously with equal power","Insufficient upward motion, unequal arm power in X-block"
3rd Keup,3rd_keup,advanced_strikes,Advanced Strikes,Striking,2,"Upset Punch (Dwijibeo Jireugi), Side Elbow Thrust Advanced","Forward 6/4 counts, Backward 6/4 counts","Punch travels upward to chin/solar plexus, maximum hip rotation for elbow","Horizontal instead of upward punch, insufficient hip involvement"
3rd Keup,3rd_keup,advanced_kicks,Advanced Kicks,Kicking,2,"Side Piercing Kick (Yop Cha Jirugi), Turning Kick Basic (Dollyo Chagi)","Forward 4 counts, Backward 4 counts","High side chamber with knife foot edge, hip rotation drives circular motion","Low chamber position, wrong contact surface, linear instead of circular motion"
2nd Keup,2nd_keup,master_level_stances,Master Level Stances,Stances,2,"Close Ready Stance (Moa Junbi Sogi), X-Stance (Gyocha Sogi)","Forward 8/6 counts, Backward 8/6 counts","Feet close and parallel, legs cross at knee level with weight on front leg","Feet not parallel, crossing too high/low, poor weight distribution"
2nd Keup,2nd_keup,master_blocks,Master Level Blocks,Blocking,2,"Palm Block (Sonbadak Makgi), Twin Forearm Block Advanced","Forward 6/4 counts, Backward 6/4 counts","Block with palm surface in circular motion, perfect simultaneous action with maximum power","Wrong hand surface, poor circular motion, slight timing differences"
2nd Keup,2nd_keup,expert_strikes,Expert Strikes,Striking,2,"Ridge Hand Strike (Sonnal Deung Taerigi), Arc Hand Strike (Bandalson Taerigi)","Forward 6/4 counts, Backward 6/4 counts","Ridge of hand circular motion to temple/neck, fingertips in arc motion to face/throat","Wrong hand surface, poor circular technique, incorrect finger formation"
2nd Keup,2nd_keup,expert_kicks,Expert Kicks,Kicking,2,"Side Piercing Kick Advanced, Back Piercing Kick (Dwit Cha Jirugi)","Forward 4/3 counts, Backward 4/3 counts","Perfect chamber with maximum thrust, complete 180° turn with bottom of foot contact","Any chamber imperfection, incomplete turn, not looking at target"
1st Keup,1st_keup,black_belt_preparation_stances,Black Belt Preparation Stances,Stances,2,"Warrior Ready Stance (Mu Ja Junbi Sogi), Crane Stance (Haktari Sogi)","Forward 10/6 counts, Backward 10/6 counts","Flawless technical execution with warrior presence, perfect balance on one leg","Any technical imperfection, lack of warrior presence, touching ground with raised foot"
1st Keup,1st_keup,black_belt_blocks,Black Belt Level Blocks,Blocking,2,"Circular Block (Dollimyo Makgi), Pressing Block (Noollo Makgi)","Forward 6/4 counts, Backward 6/4 counts","Perfect circular motion with maximum coverage, strong downward pressure with both hands","Broken circular motion, insufficient downward pressure, poor hand coordination"
1st Keup,1st_keup,master_strikes,Master Level Strikes,Striking,2,"Spear Finger Thrust (Pyeonsonkkeut Tulgi), Twin Vertical Punch (Sang Sewo Jireugi)","Forward 6/4 counts, Backward 6/4 counts","Thrust with fingertips for maximum penetration, both fists simultaneously with perfect synchronization","Bent finger positioning, timing differences between punches, incorrect fist orientation"
1st Keup,1st_keup,master_kicks,Master Level Kicks,Kicking,2,"Reverse Turning Kick (Bandae Dollyo Chagi), Jump Front Kick (Ttwimyo Ap Chagi)","Forward 4/3 counts, Backward 4/3 counts","Complete reverse motion with exceptional balance, jump and kick simultaneously with controlled landing","Incomplete reverse motion, poor jump-kick coordination, balance problems in air"
